Lp.;Name;Ingredient;Postać farmaceutyczna;Dawka;Wielkość opakowania;Kat. dost.;EAN;Wytwórca;Kraj wytwórcy
0;Bosentan;BCAA;proszek;80 mg/ml;10 amp. 5 ml;Lz;0000000000000;Formotiva;PL
1;Abaktal;Pefloxacinum;roztwór do infuzji;80 mg/ml;10 amp. 5 ml;Lz;5909990061815;"LEK S.A.
Lek Pharmaceuticals d.d.";"PL
SLO"
2;Abaktal;Pefloxacinum;tabletki powlekane;400 mg;10 tabl.;Rp;5909990061716;"LEK S.A.
Lek Pharmaceuticals d.d.";"PL
SLO"
3;ABE;Acidum lacticum + Acidum salicylicum;płyn na skórę;(111,25 mg + 89 mg)/g;1 op. 8 g;OTC;5909990040919;"INCO-VERITAS S.A. Wydział Produkcji Leków
INCO-VERITAS S.A. Oddział w Górze Kalwarii";"PL

PL"
4;Abelcet;Amphotericinum B;koncentrat do sporządzania zawiesiny do infuzji;5 mg/ml;10 fiol. 20 ml;Lz;5909990973927;"Axellia Pharmaceuticals Aps
Brecon Pharmaceuticals Ltd";"DK
GB"
5;Abropernol N;Homeopatyczny produkt leczniczy;tabletki;;50 tabl.;OTC;5909996344417;Biologische Heilmittel Heel GmbH;D
6;Abrotanum;Homeopatyczny produkt leczniczy ;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";"2CH, 4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 
6K, 12K, 30K, 200K, 1MK, 10MK, 100MK";"2CH - 1 op.1 g
2CH - 1 op. 4 g
2CH - 1 op. 60 ml
4CH - 1 op.1 g
4CH - 1 op. 4 g
4CH - 1 op. 60 ml
5CH - 1 op.1 g
5CH - 1 op. 4 g
5CH - 1 op. 60 ml
7CH - 1 op.1 g
7CH - 1 op. 4 g
7CH - 1 op. 60 ml
9CH - 1 op.1 g
9CH - 1 op. 4 g
9CH - 1 op. 60 ml
12CH - 1 op.1 g
12CH - 1 op. 4 g
12CH - 1 op. 60 ml
15CH - 1 op.1 g
15CH - 1 op. 4 g
15CH - 1 op. 60 ml
30CH - 1 op.1 g
30CH - 1 op. 4 g
30CH - 1 op. 60 ml
200CH - 1 op.1 g
200CH - 1 op. 4 g
200CH - 1 op. 60 ml";"OTC: 2CH - 15CH,
Rp: 30CH - 200CH; 6K - 100MK";"5909990665792
5909990665785
5909990665839
5909997083032
5909997082882
5909997083186
5909997083049
5909997082899
5909997083193
5909997083056
5909997082905
5909997083209
5909997083063
5909997082912
5909997083216
5909997083070
5909997082929
5909997083223
5909997083087
5909997082936
5909997083230
5909997083094
5909997082943
5909997083247
5909997083100
5909997082950
5909997083254";Boiron SA;FR
;;;;;"6K - 1 op.1 g
6K - 1 op. 4 g
6K - 1 op. 60 ml
12K - 1 op.1 g
12K - 1 op. 4 g
12K - 1 op. 60 ml
30K - 1 op.1 g
30K - 1 op. 4 g
30K - 1 op. 60 ml
200K - 1 op.1 g
200K - 1 op. 4 g
200K - 1 op. 60 ml
1MK - 1 op.1 g
1MK - 1 op. 4 g
1MK - 1 op. 60 ml
10MK - 1 op.1 g
10MK - 1 op. 4 g
10MK - 1 op. 60 ml
100MK - 1 op.1 g
100MK - 1 op. 4 g
100MK - 1 op. 60 ml";;"5909997083117
5909997082967
5909997083261
5909997083124
5909997082974
5909997083278
5909997083131
5909997082981
5909997083285
5909997083148
5909997082998
5909997083292
5909997083155
5909997083001
5909997083308
5909997083162
5909997083018
5909997083315
5909997083179
5909997083025
5909997083322";;
7;Absenor;Natrii valproas;tabletka o przedłużonym uwalnianiu;300 mg;100 tabl.;Rp;5909990042371;Orion Corporation Orion Pharma;FIN
8;Absenor;Natrii valproas;tabletka o przedłużonym uwalnianiu;500 mg;100 tabl.;Rp;5909990042364;Orion Corporation Orion Pharma;FIN
9;Acarbose Tecnimede;Acarbosum;tabletki;100 mg;"10 tabl.
20 tabl.
30 tabl.
50 tabl.
60 tabl.
90 tabl.
120 tabl.
270 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990894086
5909990894093
5909990894109
5909990894130
5909990894147
5909990894154
5909990894161
5909990894178";"Atlantic Pharma - Producoes Farmaceuticas SA
West Pharma - Producoes de Especialidades Farmaceuticas S.A.";"P

P"
10;Acard;Acidum acetylsalicylicum;tabletki dojelitowe;75 mg;"30 tabl.
60 tabl.";"OTC
OTC";"5909990672516
5909990672523";Warszawskie Zakłady Farmaceutyczne POLFA S.A.;PL
11;Acard;Acidum acetylsalicylicum;tabletki dojelitowe;150 mg;"30 tabl.
60 tabl.";"OTC
OTC";"5909990858767
5909990858774";Warszawskie Zakłady Farmaceutyczne POLFA S.A.;PL
12;AcarGen;Acarbosum;tabletki;50 mg;30 tabl.;Rp;5909990838578;"Generics [UK] Ltd.
McDermott Laboratories Ltd. T/A Gerard Laboratories
Pharma Pack Kft.";"GB
IRL

H"
13;AcarGen;Acarbosum;tabletki;100 mg;30 tabl.;Rp;5909990838585;"Generics [UK] Ltd.
McDermott Laboratories Ltd. T/A Gerard Laboratories
Pharma Pack Kft.";"GB
IRL

H"
14;Acatar;Oxymetazolini hydrochloridum;aerozol do nosa, roztwór;0,5 mg/ml (0,05%);1 poj. 15 ml;OTC;5909990830312;Universal Products (Lytham) Manufacturing Ltd.;GB
15;Acatar Acti-Tabs;Pseudoephedrini hydrochloridum + Triprolidini hydrochloridum;tabletki;60 mg + 2,5 mg;"6 tabl.
12 tabl.";"OTC
OTC";"5909991114916
5909990422005";US Pharmacia Sp. z o.o.;PL
16;Acatar Zatoki;Ibuprofenum + Pseudoephedrini hydrochloridum;tabletki powlekane;200 mg + 30 mg;"6 tabl.
12 tabl.
24 tabl.";"OTC
OTC
OTC";"5909991133924
5909991133931
5909991133948";US Pharmacia Sp. z o.o.;PL
17;Acatarick Allergy;Cetirizini dihydrochloridum;tabletki powlekane;10 mg;10 tabl.;OTC;5909990809943;Chanelle Medical;IRL
18;ACC 600;Acetylcysteinum;tabletki musujące;600 mg;"10 tabl.
20 tabl.";"Rp
Rp";"5909990691012
5909990691029";Salutas Pharma GmbH;D
19;ACC 600 Hot;Acetylcysteinum;proszek do sporządzania roztworu doustnego;600 mg/3 g;10 sasz. 3 g;Rp;5909990892211;Salutas Pharma GmbH;D
20;ACC Hot Max;Acetylcysteinum;granulat do sporządzania roztworu doustnego;200 mg;20 sasz. 3 g;OTC;5909990892112;Salutas Pharma GmbH;D
21;ACC Max;Acetylcysteinum;proszek do sporządzania roztworu;200 mg;20 sasz. 3 g;OTC;5909990331611;Salutas Pharma GmbH;D
22;ACC Max;Acetylcysteinum;tabletki;200 mg;20 tabl.;OTC;5909990922611;Salutas Pharma GmbH;D
23;ACC Max;Acetylcysteinum;tabletki musujące;200 mg;20 tabl.;OTC;5909990990610;Salutas Pharma GmbH;D
24;ACC mini;Acetylcysteinum;proszek do sporządzania roztworu;100 mg;20 sasz. 3 g;OTC;5909990331512;Salutas Pharma GmbH;D
